country,year,S,E,H,R_proxy
FIN,2002,2.8767083284631987,5.122874549263646,7.247190258560643,0.3688025790338598
FIN,2003,2.8921247879281933,5.282708895626963,7.298869292289251,0.2790764188368282
FIN,2004,2.8650283443618063,5.371829533498231,7.291403643211621,0.41549435796527134
FIN,2005,2.775592719409703,5.4075708189831,7.245123194014323,0.3257486493479281
FIN,2006,2.7200171033002682,5.437594456756838,7.206110633725082,0.32436281332777495
FIN,2007,2.4986531607536024,5.3861649511211445,7.1096779857138515,0.35300062813422545
FIN,2008,2.4775913787378636,5.513812213176126,7.191447462156366,0.3632055331813041
FIN,2009,2.811489934296487,5.764959784854455,7.470769401938356,0.32244788050374706
FIN,2010,2.6479004304846927,5.833956627872541,7.49631044423694,0.31486017492057794
FIN,2011,2.5847573094529004,5.871797725158923,7.581252034378175,0.2895490243081369
FIN,2012,2.595436011390563,6.216154285524648,7.938836052935467,0.22611144501306146
FIN,2013,2.6506096936033923,6.224270188468978,8.019334603047364,0.22490191140318588
FIN,2014,2.6536726853154757,6.197166929416532,8.075835793292674,0.22089871130453081
FIN,2015,2.7428729654541475,6.144974956347774,8.140486913495984,0.20258211230631137
FIN,2016,2.6436345272748314,6.070978300460575,8.145168107663778,0.17867043969828217
FIN,2017,2.6393194830651314,5.863609147158763,8.031204941407852,0.1578900274604032
FIN,2018,2.524754997293759,5.829540583807483,8.08413177790985,0.2183793986865697
FIN,2019,2.4873096177391325,5.938013217536125,8.230648956093537,0.19787462167935765
FIN,2020,2.6144865365005705,6.0756374341598365,8.303813290992467,0.24371000249390867
FIN,2021,2.5667628963880436,6.129018212211793,8.167221086577278,0.16826353701797633
FIN,2022,2.5226451556718263,6.013789073642869,8.14107131445552,0.16149760189279988
AUT,2000,2.3629023350920955,5.481800676362577,7.440004511972255,0.12709906821659223
AUT,2001,2.3401404688016743,5.5065187986696245,7.512443512619789,0.1026963523024236
AUT,2002,2.448067122970463,5.536209968500426,7.4444900520551895,0.09214768813116843
AUT,2003,2.462201537021658,5.497337979672089,7.3758525030599715,0.0620352442638987
AUT,2004,2.5992167911555546,5.539096072135135,7.373202139514201,0.07899279565509865
AUT,2005,2.4663353005835553,5.529318654535419,7.37502354491491,0.06851852677324113
AUT,2006,2.493862419051532,5.564093538912586,7.425402839038365,0.08150884939765296
AUT,2007,2.533778505934755,5.5964677660832125,7.451783382693608,0.050355978572270546
AUT,2008,2.4771849978388407,5.720137584615394,7.490335902132235,0.07500344218664076
AUT,2009,2.800989404762188,5.929257347122587,7.712448611624701,0.061328938162731154
AUT,2010,2.5350620274095954,5.9523049642167365,7.676091034044127,0.08016955004797939
AUT,2011,2.53856906320273,5.927885082338649,7.682989887818135,0.11019495167735192
AUT,2012,2.582066268226275,5.916385338493382,7.61935901763702,0.11709894278627561
AUT,2013,2.6793353042943564,5.951467399278808,7.674904574142179,0.07857388890360176
AUT,2014,2.6695638935903006,5.930184037157162,7.651310940960653,0.04221632223113565
AUT,2015,2.6800142901898507,5.932559392332326,7.585583183193772,0.04503533538715847
AUT,2016,2.7229122680243885,5.963996274811038,7.6019845989242185,0.06242297706524584
AUT,2017,2.551230326933032,5.96462166736458,7.565662070657798,0.09075516447200266
AUT,2018,2.581611382705624,5.936632192099407,7.557685738220136,0.11901320693535603
AUT,2019,2.4945322583761635,5.982434231439963,7.582208207037193,0.10215809080652977
